product_id,brand,ad_product,sales_product,candidate,score,runner_up,spend_30d,status
12963791628,saip,파미나 N&D 트로피컬 독 연어 열대과일 미니 알갱이 1.5Kg 강아지 사료,트로피컬 독 연어 열대과일 미니 알갱이 1.5Kg,,1.00,0.83,216870,auto
12138688283,saip,레이앤이본 닥터레이 오메가3 강아지 고양이 영양제,오메가3,,1.00,0.57,192145,auto
13236905940,saip,고네이티브 스몰브리드 연어 1.5kg 강아지 프리미엄 사료,스몰브리드 연어 1.5kg,,1.00,0.67,126626,auto
12138640450,saip,레이앤이본 닥터레이 프로키온 강아지 유산균,프로키온,,1.00,0.43,91218,auto
13698189880,saip,오리젠 스몰브리드 독 사료 1.8kg 강아지 사료 칠면조 닭고기,,레이앤이본 닥터레이 안타레스 강아지 종양 영양제 항산화제,0.14,0.14,71247,review
13703320898,saip,오리젠6 식스피쉬 독 사료 2kg 강아지 사료 단백질 미네랄,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.43,0.17,70293,review
12138711156,saip,레이앤이본 닥터레이 바나퀸 조인트 관절 영양제 통증완화,바나퀸 조인트,,1.00,0.43,63921,auto
12838158080,saip,고네이티브 스몰브리드 오리 1.5kg 강아지 프리미엄 사료,스몰브리드 오리 1.5kg,,1.00,0.67,60253,auto
13554036510,saip,고네이티브 스몰브리드 연어 4kg 시금치 생강 강아지 프리미엄 사료,,고네이티브 스몰브리드 연어 4kg 시금치 생강 강아지 프리미엄 사료,1.00,0.86,54541,review
12963083851,saip,파미나 N&D 트로피컬 독 돼지고기 열대과일 미니 알갱이 100g 샘플,트로피컬 독 돼지고기 열대과일 미니 알갱이 100g 샘플,,1.00,0.83,51279,auto
12962316927,saip,파미나 N&D 엔세스트럴 캣 닭고기 석류 5kg 고양이 당뇨 사료,엔세스트럴 캣 닭고기 석류 5kg,,1.00,0.75,49144,auto
12565240183,saip,N배송 l 파미나 N&D 펌킨 멧돼지&사과 미니 알갱이 미니바이트 7kg 대용량 사료,,펌킨 독 멧돼지&사과 미니알갱이 7kg,0.80,0.50,45799,review
13236952010,saip,고네이티브 스몰브리드 청어 1.5kg 강아지 사료 면역력,스몰브리드 청어 1.5kg,,1.00,0.67,40262,auto
12638140546,saip,파미나 N&D 펌킨 독 닭고기&석류 미니 바이트 2.5kg 호박 강아지 사료,펌킨 독 닭고기&석류 미니 바이트 2.5kg,,1.00,0.83,36375,auto
13688138679,saip,파미나 벳라이프 처방식 독 레날 2kg 강아지 신부전 신장 관리,,파미나 벳라이프 처방식 독 울트라하이포 2kg 강아지 사료,0.71,0.17,28414,review
13718224431,nutty,"너티 강아지 오래먹는 개껌 치석제거 스트레스 완화 안정 집중 강아지껌 덴탈껌 15개입 450g, 2개",,스트레스제로껌 2개,0.50,0.00,27830,review
13553908737,saip,고네이티브 스몰브리드 오리 4kg 강아지 프리미엄 사료,"고네이티브 스몰브리드 오리 4kg 강아지 프리미엄 사료",,1.00,0.67,24891,auto
12963860740,saip,파미나 N&D 트로피컬 독 연어 열대과일 미니 알갱이 5kg,트로피컬 독 연어 열대과일 미니 알갱이 5kg,,1.00,0.50,24017,auto
12963072941,saip,파미나 N&D 트로피컬 독 돼지고기 열대과일 미니 알갱이 1.5KG,트로피컬 독 돼지고기 열대과일 미니 알갱이 1.5KG,,1.00,0.83,21566,auto
12963004054,saip,[유통기한 26년 9월 30일] 파미나 N&D 트로피컬 캣 닭고기 열대과일 1.5kg 고양이 사료,,캣 대구 오렌지 1.5kg 고양이 사료,0.60,0.57,20863,review
12138788510,saip,레이앤이본 닥터레이 베가 간 영양제 유산균,,레이앤이본 닥터레이 안타레스 강아지 종양 영양제 항산화제,0.43,0.29,20115,review
